分類コード,分類名称,診療行為コード,診療行為,点数,総計(患者数),北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県
B007-2,退院後訪問指導料,113022910,退院後訪問指導料,580,6374,542,-,82,45,13,67,70,128,24,66,130,155,354,149,43,229,93,33,45,126,220,139,423,22,85,290,381,145,110,99,52,144,144,218,25,152,19,57,-,270,32,391,58,87,77,279,40
B008-2,薬剤総合評価調整管理料,113023110,薬剤総合評価調整管理料,250,31241,1844,167,339,453,318,503,298,514,455,488,1947,1606,3213,2077,510,145,412,370,164,539,420,658,1940,245,388,435,2138,1589,234,297,109,287,844,987,300,205,233,318,129,1090,86,297,538,425,145,432,113
B008-2,薬剤総合評価調整管理料,113043210,薬剤総合評価調整管理料（情報通信機器を用いた場合）,218,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
B009,診療情報提供料（１）,180016110,診療情報提供料（１）,250,16717495,618588,133871,132668,311636,107865,147886,196236,337045,235531,243897,806860,725192,2168909,1240695,246260,131029,134074,96960,91487,282189,269159,480547,1021357,246721,194858,387344,1383180,824666,209576,139750,79008,96462,288821,411746,185107,102359,128254,168624,84384,727823,120343,189651,257020,159476,145493,230275,160335
B009-2,電子的診療情報評価料,113023610,電子的診療情報評価料,30,28879,875,70,387,107,38,932,-,125,46,111,1030,118,8981,923,-,263,554,284,0,344,681,949,3006,177,103,16,1188,590,95,0,97,67,172,1540,762,30,429,305,161,1353,175,972,793,20,0,0,0
B010,診療情報提供料（２）,113009510,診療情報提供料（２）,500,73882,3289,381,162,700,352,273,886,1007,649,631,6746,2429,18254,7005,495,201,348,207,325,1339,904,2145,4470,1401,306,1103,5512,2713,443,597,74,352,459,1657,586,146,310,661,309,1553,245,322,342,355,484,264,537
B010-2,診療情報連携共有料,113028710,診療情報連携共有料,120,66420,1577,963,944,870,648,538,1098,1164,667,675,4088,3408,6974,5853,3094,558,148,286,225,939,1827,1878,5130,352,307,873,3705,1827,202,185,56,206,1573,1339,384,706,283,653,124,2824,711,998,2437,167,882,1516,577
B011,連携強化診療情報提供料,113032310,連携強化診療情報提供料,150,150196,2815,292,560,1525,425,492,1026,1237,1308,2545,6529,3956,15780,5540,1341,726,630,835,175,2016,2282,3881,14658,458,2437,7255,15870,5472,2578,305,28,2585,3531,4523,2720,159,1840,2099,326,10676,776,5256,4776,1335,1583,2239,816
B011-3,薬剤情報提供料,120002370,薬剤情報提供料,10,36414369,1146428,258757,284909,509423,212230,331179,555056,733134,702371,845027,1759224,1418532,3197196,1598762,484739,456913,480824,416456,189098,694533,723351,1070393,3101008,671459,433035,1064076,3320544,1622372,541899,452296,203003,183980,756689,739349,349288,313776,350573,572256,235019,1238144,170123,348465,608811,354003,265545,471271,400881
B011-4,医療機器安全管理料,113011210,医療機器安全管理料（臨床工学技士配置医療機関で生命維持管理装置を用いて治療を行う場合）（１月につき）,100,23337,605,383,214,440,481,349,442,703,168,224,1315,1132,1258,1218,147,293,331,197,154,402,423,827,1545,646,359,465,1719,1441,425,288,208,85,148,535,236,92,197,130,70,1272,144,189,646,130,295,191,185
B011-4,医療機器安全管理料,113011310,医療機器安全管理料（放射線治療機器管理体制整備医療機関で放射線治療計画を策定する場合）（一連につき）,1100,111032,4460,816,1092,2894,362,757,1410,2215,2123,1903,4869,5927,16264,9097,1861,976,764,489,707,2233,1740,4089,5914,1127,788,2545,8289,5083,1389,862,208,443,1633,2806,695,525,684,807,384,3645,382,1140,1339,624,380,959,1383
B011-5,がんゲノムプロファイリング評価提供料,113043310,がんゲノムプロファイリング評価提供料,12000,16109,590,179,96,480,104,256,120,220,186,133,467,598,2397,1288,251,135,188,123,112,281,230,416,1023,324,129,454,1314,666,216,103,74,70,341,384,111,125,169,177,88,667,65,127,217,99,45,229,42
B012,傷病手当金意見書交付料,180000710,傷病手当金意見書交付料,100,1290135,40551,10432,10607,21370,8790,9986,17317,27238,19982,19990,72325,60918,174983,91735,20263,9606,12680,8662,7094,17773,19278,40407,93189,19669,14058,23330,94473,51517,10688,7657,5457,6698,19616,26884,10251,7334,9592,13934,6506,62180,8720,14121,20900,9956,12311,17472,16603
B012,傷病手当金意見書交付料,180000850,感染症法による公費負担申請診断書交付料,100,3054,45,15,27,-,-,13,-,59,61,-,154,154,650,286,17,23,19,-,-,28,43,41,136,32,19,93,408,138,45,26,-,-,46,17,17,18,22,-,0,163,-,27,15,37,-,42,55
B012,傷病手当金意見書交付料,180000950,感染症法による公費負担申請手続代行料,100,1507,28,12,26,11,-,10,-,46,37,-,113,60,191,55,11,15,13,0,-,14,35,21,109,26,-,61,81,65,42,24,-,-,27,10,13,18,20,-,-,141,-,27,-,24,-,28,44
B012,傷病手当金意見書交付料,180001030,感染症法による公費負担申請診断書交付・申請手続代行料,200,2613,83,14,-,58,17,14,-,28,-,19,89,114,280,134,54,-,12,-,0,25,34,104,362,52,25,33,309,155,20,-,16,10,20,92,25,13,23,25,-,85,31,64,30,39,11,22,40
B013,療養費同意書交付料,113004310,療養費同意書交付料,100,523457,29718,1230,2343,5689,1801,1626,6672,5455,4110,2636,26658,21913,78411,55181,3863,3804,3209,1463,3102,6531,3120,8989,48000,4996,3181,11578,74526,23880,4529,4910,829,1070,1741,13182,2332,1479,2196,4045,1094,18470,2124,6149,4223,2010,2912,5450,2192
B014,退院時薬剤情報管理指導料,113701910,退院時薬剤情報管理指導料,90,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,0,0,0,0,0,0,0,0,0,0
B015,精神科退院時共同指導料,113032510,精神科退院時共同指導料１（外来を担う保険医療機関又は在宅療養担当医療機関の場合）精神科退院時共同指導料（１）,1500,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B015,精神科退院時共同指導料,113032610,精神科退院時共同指導料１（外来を担う保険医療機関又は在宅療養担当医療機関の場合）精神科退院時共同指導料（２）,900,124,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,21,0,0,0,0,-,53,0,0,-,10,-,0,0,0,0,-,0,-,0,0,-,-,0,0,10,-,0,0,0,0
